Codice Istat comune (numerico);Rifiuto residuo (in Kg);Comune;Rifiuto totale (in Kg);Rifiuto totale pro capite (in Kg);Rifiuto totale differenziato pro capite (in Kg);Rifiuto totale residuo pro capite (in Kg);Raccolta differenziata (in Kg);Anno;Popolazione a fine anno
Grumolo delle Abbadesse;1.022.830;Grumolo delle Abbadesse;1.114.937;347,77;28.73;319,04;92.107;1997;3.206
Isola Vicentina;1.814.000;Isola Vicentina;2.297.200;307,94;64.77;243,16;483.200;1997;7.460
Laghi;41.500;Laghi;49.340;333,38;52.97;280,41;7.840;1997;148.000
Lastebasse;63.750;Lastebasse;74.550;298,2;43.20;255;10.800;1997;250.000
Longare;1.320.911;Longare;1.461.089;280,49;26.91;253,58;140.178;1997;5.209
Lonigo;4.399.000;Lonigo;4.858.137;363,99;34.40;329,59;459.137;1997;13.347
Lugo di Vicenza;948.630;Lugo di Vicenza;1.138.753;308,86;51.57;257,29;190.123;1997;3.687
Lusiana;832.800;Lusiana;869.090;301,77;12.60;289,17;36.290;1997;2.880
Malo;2.904.580;Malo;4.198.762;355,5;109.57;245,92;1.294.182;1997;11.811
Marano Vicentino;2.122.420;Marano Vicentino;2.648.030;312,23;61.98;250,26;525.610;1997;8.481
Marostica;4.512.310;Marostica;4.832.816;381,95;25.33;356,62;320.506;1997;12.653
Mason Vicentino;775.340;Mason Vicentino;1.074.081;353,32;98.27;255,05;298.741;1997;3.040
Molvena;571.200;Molvena;680.801;287,38;46.26;241,11;109.601;1997;2.369
Montebello Vicentino;1.449.120;Montebello Vicentino;1.628.202;289;31.79;257,21;179.082;1997;5.634
Montecchio Maggiore;9.160.000;Montecchio Maggiore;10.435.569;510,82;62.44;448,38;1.275.569;1997;20.429
Montecchio Precalcino;1.364.610;Montecchio Precalcino;1.665.920;370,95;67.09;303,85;301.310;1997;4.491
Monte di Malo;630.100;Monte di Malo;740.110;277,09;41.19;235,9;110.010;1997;2.671
Montegalda;853.780;Montegalda;921.172;307,98;22.53;285,45;67.392;1997;2.991
Montegaldella;347.380;Montegaldella;385.440;230,53;22.76;207,76;38.060;1997;1.672
Monteviale;509.040;Monteviale;569.100;285,69;30.15;255,54;60.060;1997;1.992
Monticello Conte Otto;2.754.830;Monticello Conte Otto;3.027.130;351,18;31.59;319,59;272.300;1997;8.620
Montorso Vicentino;798.380;Montorso Vicentino;858.017;302,01;20.99;281,02;59.637;1997;2.841
Mossano;453.000;Mossano;521.280;306,27;40.12;266,16;68.280;1997;1.702
Mussolente;2.026.280;Mussolente;2.371.513;369,74;53.82;315,92;345.233;1997;6.414
Nanto;600.790;Nanto;657.920;297,7;25.85;271,85;57.130;1997;2.210
Nogarole Vicentino;201.400;Nogarole Vicentino;330.567;352,42;137.70;214,71;129.167;1997;938.000
Nove;1.254.960;Nove;1.714.070;357,17;95.67;261,5;459.110;1997;4.799
Noventa Vicentina;1.138.380;Noventa Vicentina;2.366.819;293,8;152.49;141,31;1.228.439;1997;8.056
Orgiano;822.950;Orgiano;907.250;294,66;27.38;267,28;84.300;1997;3.079
Pedemonte;216.420;Pedemonte;237.850;294;26.49;267,52;21.430;1997;809.000
Pianezze;439.900;Pianezze;531.590;295,33;50.94;244,39;91.690;1997;1.800
Piovene Rocchette;1.972.870;Piovene Rocchette;2.246.057;303,85;36.96;266,89;273.187;1997;7.392
Poiana Maggiore;1.087.190;Poiana Maggiore;1.231.635;290,96;34.12;256,84;144.445;1997;4.233
Posina;203.690;Posina;249.750;349,3;64.42;284,88;46.060;1997;715.000
Pove del Grappa;1.046.120;Pove del Grappa;1.104.142;400,63;21.05;379,58;58.022;1997;2.756
Pozzoleone;609.740;Pozzoleone;679.156;274,74;28.08;246,66;69.416;1997;2.472
Quinto Vicentino;1.453.060;Quinto Vicentino;1.565.290;349,79;25.08;324,71;112.230;1997;4.475
Recoaro Terme;1.911.580;Recoaro Terme;2.070.703;274,96;21.13;253,83;159.123;1997;7.531
Roana;2.031.865;Roana;2.118.766;564,55;23.16;541,4;86.901;1997;3.753
Romano d'Ezzelino;5.053.260;Romano d'Ezzelino;5.402.184;403,96;26.09;377,87;348.924;1997;13.373
Rosa';3.067.010;Rosà;3.817.903;312,56;61.47;251,09;750.893;1997;12.215
Rossano Veneto;1.616.480;Rossano Veneto;2.461.201;376,33;129.16;247,17;844.721;1997;6.540
Rotzo;315.635;Rotzo;329.134;564,55;23.15;541,4;13.499;1997;583.000
Salcedo;228.900;Salcedo;286.210;276,8;55.43;221,37;57.310;1997;1.034
Sandrigo;3.325.570;Sandrigo;3.558.153;465,67;30.44;435,23;232.583;1997;7.641
San Germano dei Berici;352.520;San Germano dei Berici;357.029;345,62;4.36;341,26;4.509;1997;1.033
San Nazario;638.835;San Nazario;694.969;390,87;31.57;359,3;56.134;1997;1.778
San Pietro Mussolino;368.370;San Pietro Mussolino;399.332;269,27;20.88;248,4;30.962;1997;1.483
Santorso;1.082.620;Santorso;1.354.166;263,46;52.83;210,63;271.546;1997;5.140
San Vito di Leguzzano;796.110;San Vito di Leguzzano;1.341.202;418,47;170.08;248,4;545.092;1997;3.205
Sarcedo;1.283.130;Sarcedo;1.653.380;333,01;74.57;258,44;370.250;1997;4.965
Sarego;1.683.180;Sarego;1.771.386;339,41;16.90;322,51;88.206;1997;5.219
Schiavon;625.020;Schiavon;719.020;314,95;41.17;273,77;94.000;1997;2.283
Schio;13.021.620;Schio;17.213.555;465,77;113.43;352,35;4.191.935;1997;36.957
Solagna;619.663;Solagna;650.344;380,32;17.94;362,38;30.681;1997;1.710
Sossano;1.042.810;Sossano;1.283.540;321,53;60.30;261,22;240.730;1997;3.992
Sovizzo;1.845.000;Sovizzo;2.300.210;420,44;83.20;337,23;455.210;1997;5.471
Tezze sul Brenta;4.285.460;Tezze sul Brenta;4.506.690;440,28;21.61;418,67;221.230;1997;10.236
Thiene;7.719.930;Thiene;9.273.320;446,89;74.86;372,03;1.553.390;1997;20.751
Tonezza del Cimone;432.140;Tonezza del Cimone;458.645;713,29;41.22;672,07;26.505;1997;643.000
Torrebelvicino;1.439.210;Torrebelvicino;1.613.840;308,46;33.38;275,08;174.630;1997;5.232
Torri di Quartesolo;3.297.320;Torri di Quartesolo;3.665.350;356,62;35.81;320,81;368.030;1997;10.278
Trissino;2.236.860;Trissino;3.047.615;400,53;106.55;293,98;810.755;1997;7.609
Valdagno;7.332.450;Valdagno;8.737.699;321,96;51.78;270,18;1.405.249;1997;27.139
Valdastico;452.850;Valdastico;479.830;319,04;17.94;301,1;26.980;1997;1.504
Valli del Pasubio;745.220;Valli del Pasubio;841.750;236,25;27.09;209,16;96.530;1997;3.563
Valstagna;663.627;Valstagna;711.336;385,13;25.83;359,3;47.709;1997;1.847
Velo d'Astico;461.750;Velo d'Astico;672.390;292,73;91.70;201,02;210.640;1997;2.297
Vicenza;50.740.554;Vicenza;57.702.883;529,64;63.91;465,74;6.962.329;1997;108.947
Villaga;460.880;Villaga;490.520;267,31;16.15;251,16;29.640;1997;1.835
Villaverla;1.304.560;Villaverla;1.615.690;317,24;61.09;256,15;311.130;1997;5.093
Zane';1.850.090;Zanè;2.507.850;446,87;117.21;329,67;657.760;1997;5.612
Zermeghedo;343.060;Zermeghedo;412.353;364,27;61.21;303,06;69.293;1997;1.132
Zovencedo;200.250;Zovencedo;205.292;250,36;6.15;244,21;5.042;1997;820.000
Zugliano;1.389.950;Zugliano;1.678.845;287,08;49.40;237,68;288.895;1997;5.848
Agordo;1.569.350;Agordo;1.750.952;399,67;41.45;358,22;181.602;1997;4.381
Alano di Piave;615.880;Alano di Piave;615.880;226,93;0.00;226,93;0;1997;2.714
Alleghe;700.140;Alleghe;795.200;544,28;65.07;479,22;95.060;1997;1.461
Arsie';698.730;Arsiè;698.730;245,17;0.00;245,17;0;1997;2.850
Auronzo di Cadore;2.243.930;Auronzo di Cadore;2.387.584;639,25;38.46;600,78;143.654;1997;3.735
Belluno;15.442.000;Belluno;17.713.000;502,78;64.46;438,32;2.271.000;1997;35.230
Borca di Cadore;512.040;Borca di Cadore;553.549;707,86;53.08;654,78;41.509;1997;782.000
Calalzo di Cadore;876.220;Calalzo di Cadore;978.431;387,19;40.45;346,74;102.211;1997;2.527
Castellavazzo;449.100;Castellavazzo;529.944;295,89;45.14;250,75;80.844;1997;1.791
Cencenighe Agordino;549.190;Cencenighe Agordino;618.415;412;46.12;365,88;69.225;1997;1.501
Cesiomaggiore;888.070;Cesiomaggiore;888.070;221,13;0.00;221,13;0;1997;4.016
Chies d'Alpago;390.488;Chies d'Alpago;465.830;296,52;47.96;248,56;75.342;1997;1.571
Cibiana di Cadore;191.380;Cibiana di Cadore;207.179;355,37;27.10;328,27;15.799;1997;583.000
Colle Santa Lucia;166.240;Colle Santa Lucia;187.907;436,99;50.39;386,6;21.667;1997;430.000
Comelico Superiore;869.000;Comelico Superiore;947.016;355,89;29.32;326,57;78.016;1997;2.661
Cortina d'Ampezzo;5.374.420;Cortina d'Ampezzo;5.644.050;852,06;40.71;811,36;269.630;1997;6.624
Danta di Cadore;170.300;Danta di Cadore;193.654;341,54;41.19;300,35;23.354;1997;567.000
Domegge di Cadore;898.220;Domegge di Cadore;1.015.882;372,12;43.10;329,02;117.662;1997;2.730
Falcade;1.225.620;Falcade;1.362.372;607,39;60.97;546,42;136.752;1997;2.243
Farra d'Alpago;630.961;Farra d'Alpago;750.578;281,43;44.85;236,58;119.617;1997;2.667
Feltre;6.863.210;Feltre;6.863.210;352,14;0.00;352,14;0;1997;19.490
Fonzaso;978.510;Fonzaso;978.510;287,71;0.00;287,71;0;1997;3.401
Canale d'Agordo;555.380;Canale d'Agordo;627.385;485,59;55.73;429,86;72.005;1997;1.292
Forno di Zoldo;878.610;Forno di Zoldo;975.420;330,31;32.78;297,53;96.810;1997;2.953
Gosaldo;356.990;Gosaldo;403.115;422,55;48.35;374,2;46.125;1997;954.000
Lamon;735.120;Lamon;735.120;200,52;0.00;200,52;0;1997;3.666
La Valle Agordina;432.630;La Valle Agordina;479.825;389,78;38.34;351,45;47.195;1997;1.231
Lentiai;862.480;Lentiai;1.044.000;364,78;63.42;301,36;181.520;1997;2.862
Limana;1.224.240;Limana;1.458.184;335,06;53.76;281,31;233.944;1997;4.352
Livinallongo del Col di Lana;755.270;Livinallongo del Col di Lana;872.170;612,48;82.09;530,39;116.900;1997;1.424
Longarone;1.559.485;Longarone;1.707.785;406,42;35.29;371,13;148.300;1997;4.202
Lorenzago di Cadore;256.640;Lorenzago di Cadore;301.493;466,71;69.43;397,28;44.853;1997;646.000
Lozzo di Cadore;599.400;Lozzo di Cadore;674.999;418,21;46.84;371,38;75.599;1997;1.614
Mel;1.450.670;Mel;1.749.914;276,14;47.22;228,92;299.244;1997;6.337
Ospitale di Cadore;124.240;Ospitale di Cadore;148.435;388,57;63.34;325,24;24.195;1997;382.000
Pedavena;1.222.730;Pedavena;1.222.730;286,55;0.00;286,55;0;1997;4.267
Perarolo di Cadore;138.780;Perarolo di Cadore;165.632;419,32;67.98;351,34;26.852;1997;395.000
Pieve d'Alpago;633.824;Pieve d'Alpago;753.883;374,88;59.70;315,18;120.059;1997;2.011
Pieve di Cadore;1.531.990;Pieve di Cadore;1.724.192;428,8;47.80;381;192.202;1997;4.021
Ponte nelle Alpi;2.835.000;Ponte nelle Alpi;3.291.996;419,74;58.27;361,47;456.996;1997;7.843
Puos d'Alpago;571.129;Puos d'Alpago;679.318;297,69;47.41;250,28;108.189;1997;2.282
Quero;540.560;Quero;540.560;251,19;0.00;251,19;0;1997;2.152
Rivamonte Agordino;254.130;Rivamonte Agordino;284.697;409,05;43.92;365,13;30.567;1997;696.000
Rocca Pietore;801.960;Rocca Pietore;894.112;588,23;60.63;527,61;92.152;1997;1.520
San Gregorio nelle Alpi;311.550;San Gregorio nelle Alpi;311.550;210,65;0.00;210,65;0;1997;1.479
San Nicolo' di Comelico;138.700;San Nicolò di Comelico;170.804;401,89;75.54;326,35;32.104;1997;425.000
San Pietro di Cadore;601.600;San Pietro di Cadore;657.085;339,05;28.63;310,42;55.485;1997;1.938
Santa Giustina;1.818.060;Santa Giustina;1.818.060;286,81;0.00;286,81;0;1997;6.339
San Tomaso Agordino;305.150;San Tomaso Agordino;337.591;392,55;37.72;354,83;32.441;1997;860.000
Santo Stefano di Cadore;1.035.600;Santo Stefano di Cadore;1.133.123;383,72;33.03;350,69;97.523;1997;2.953
San Vito di Cadore;906.840;San Vito di Cadore;991.544;595,52;50.87;544,65;84.704;1997;1.665
Sappada;798.700;Sappada;861.899;611,71;44.85;566,86;63.199;1997;1.409
Sedico;3.024.000;Sedico;3.550.599;424,26;62.92;361,33;526.599;1997;8.369
Selva di Cadore;343.920;Selva di Cadore;382.747;665,65;67.53;598,12;38.827;1997;575.000
Seren del Grappa;545.260;Seren del Grappa;545.260;214,5;0.00;214,5;0;1997;2.542
Sospirolo;685.920;Sospirolo;880.009;263;58.01;205;194.089;1997;3.346
Soverzene;101.305;Soverzene;120.771;288,93;46.57;242,36;19.466;1997;418.000
Sovramonte;338.020;Sovramonte;338.020;194,82;0.00;194,82;0;1997;1.735
Taibon Agordino;606.220;Taibon Agordino;676.295;392,28;40.65;351,64;70.075;1997;1.724
Tambre;638.400;Tambre;758.950;473,46;75.20;398,25;120.550;1997;1.603
Trichiana;1.126.920;Trichiana;1.397.950;317,72;61.60;256,12;271.030;1997;4.400
Vallada Agordina;225.190;Vallada Agordina;289.310;504,9;111.90;393;64.120;1997;573.000
Valle di Cadore;734.550;Valle di Cadore;809.680;384,1;35.64;348,46;75.130;1997;2.108
Vas;158.370;Vas;158.370;187,86;0.00;187,86;0;1997;843.000
Vigo di Cadore;547.900;Vigo di Cadore;627.608;369,4;46.91;322,48;79.708;1997;1.699
Vodo Cadore;292.150;Vodo Cadore;329.518;352,05;39.92;312,13;37.368;1997;936.000
Voltago Agordino;380.670;Voltago Agordino;435.123;433,39;54.24;379,15;54.453;1997;1.004
